frame_id, p_x0, p_y0, p_c0, p_x1, p_y1, p_c1, p_x2, p_y2, p_c2, p_x3, p_y3, p_c3, p_x4, p_y4, p_c4, p_x5, p_y5, p_c5, p_x6, p_y6, p_c6, p_x7, p_y7, p_c7, p_x8, p_y8, p_c8, p_x9, p_y9, p_c9, p_x10, p_y10, p_c10, p_x11, p_y11, p_c11, p_x12, p_y12, p_c12, p_x13, p_y13, p_c13, p_x14, p_y14, p_c14, p_x15, p_y15, p_c15, p_x16, p_y16, p_c16, p_x17, p_y17, p_c17, p_x18, p_y18, p_c18, p_x19, p_y19, p_c19, p_x20, p_y20, p_c20, p_x21, p_y21, p_c21, p_x22, p_y22, p_c22, p_x23, p_y23, p_c23, p_x24, p_y24, p_c24
20,227.744,303.394,0.981925,227.485,374.431,0.971249,183.047,374.251,0.945223,120.863,423.371,0.902743,89.7026,392.251,0.852763,267.749,374.714,0.930955,330.026,414.707,0.864657,329.834,374.442,0.915513,223.169,525.797,0.835109,191.855,521.512,0.843923,191.914,654.744,0.877219,187.553,766.424,0.855654,258.527,525.889,0.805714,258.692,654.735,0.872635,249.779,770.709,0.817485,223.086,298.888,0.956435,236.392,298.967,0.948763,200.79,307.647,0.880011,254.294,307.696,0.709849,245.436,801.894,0.751726,267.555,801.753,0.805676,236.363,784.007,0.747695,191.71,801.843,0.683023,165.178,801.618,0.708546,191.959,779.586,0.730644
21,231.793,303.406,0.975437,227.575,374.465,0.975948,183.012,374.294,0.939147,120.513,410.093,0.972756,89.5635,369.983,0.944833,272.084,374.677,0.910725,334.481,405.753,0.977438,334.367,361.086,0.916358,227.283,525.908,0.839259,191.844,525.778,0.848934,191.906,654.799,0.881859,187.49,770.616,0.842887,258.616,530.27,0.815141,258.735,654.806,0.880008,249.797,770.732,0.814416,223.079,298.927,0.949686,236.412,298.953,0.948145,200.812,307.741,0.870366,258.569,307.78,0.73738,249.776,801.929,0.74325,267.604,801.749,0.795213,236.368,784.048,0.742149,191.742,801.88,0.688525,165.163,801.667,0.715729,191.888,779.669,0.721494
22,231.793,303.441,0.975723,227.708,374.39,0.96515,183.104,374.265,0.937785,116.203,405.639,0.946519,89.5114,365.437,0.903102,276.492,374.515,0.914135,338.998,392.21,0.929033,334.446,334.441,0.976126,227.412,525.918,0.851335,191.966,525.763,0.86093,191.941,654.793,0.892818,187.501,770.634,0.848672,258.742,530.315,0.826471,258.742,654.817,0.879686,249.747,770.734,0.814054,223.086,298.986,0.956032,236.393,298.987,0.950691,200.875,307.827,0.857494,258.547,307.86,0.762506,249.814,801.934,0.741683,267.607,801.747,0.794555,232.23,784.033,0.750782,191.763,801.903,0.69505,165.17,801.684,0.725082,191.894,783.974,0.730413
23,231.807,303.474,0.977275,227.716,374.4,0.964251,187.401,374.258,0.938623,111.762,387.864,0.852443,85.1094,334.305,0.914654,276.484,374.519,0.901277,339.072,374.479,0.97428,334.324,307.735,0.918241,227.342,525.907,0.847922,191.893,521.514,0.861595,191.956,654.769,0.894895,187.48,770.636,0.851271,258.684,530.34,0.82109,258.774,654.879,0.890047,249.807,770.714,0.822528,223.098,303.048,0.961276,236.387,303.026,0.952588,200.878,307.861,0.867016,258.585,307.825,0.778321,249.851,801.911,0.7478,267.623,801.727,0.79793,236.382,784.027,0.753026,191.777,801.883,0.69494,165.178,801.672,0.721662,191.874,783.99,0.732165
24,231.805,303.464,0.983743,227.708,370.117,0.970122,187.314,370.119,0.923001,107.378,374.506,0.936719,85.0446,307.819,0.913448,276.496,370.059,0.90488,338.922,356.728,0.916473,334.387,294.384,0.946189,223.177,525.759,0.846844,191.843,521.437,0.857184,191.899,654.735,0.878698,187.525,766.42,0.846606,258.563,525.896,0.815215,258.679,654.812,0.876824,249.791,770.777,0.812223,223.105,303.051,0.961686,236.373,303.023,0.954613,200.881,307.841,0.861079,258.598,307.723,0.751075,249.749,801.907,0.728972,267.587,801.753,0.78184,236.37,784.107,0.746936,191.711,801.809,0.672166,165.191,797.541,0.690882,191.931,779.578,0.717504
25,231.788,303.473,0.983636,227.589,370.073,0.959587,174.137,369.992,0.885256,102.897,365.637,0.8926,85.1402,298.707,0.940908,276.51,370.065,0.903233,339.018,343.44,0.940325,334.415,272.001,0.93922,223.145,525.839,0.839423,191.724,521.54,0.833211,191.854,650.548,0.865179,187.484,766.381,0.836746,258.624,525.94,0.81319,258.679,654.78,0.872526,249.734,770.732,0.813244,223.118,303.066,0.966945,236.364,303.042,0.957228,200.898,307.836,0.864918,258.652,307.834,0.764875,245.446,801.872,0.738715,267.546,801.72,0.791662,232.246,784.043,0.750182,191.721,801.793,0.66613,165.183,797.535,0.681454,191.899,775.24,0.700776
26,231.782,303.466,0.985319,227.589,369.97,0.943947,174.179,369.865,0.867653,111.683,352.232,0.847865,85.1168,276.582,0.878477,272.172,369.941,0.90737,339.014,334.421,0.945686,334.542,263.218,0.97569,223.162,525.767,0.844513,191.73,521.46,0.841419,191.826,650.518,0.854631,187.474,766.372,0.835606,258.669,525.873,0.821857,258.747,654.776,0.880259,249.795,770.735,0.809836,223.11,303.068,0.965354,236.362,303.027,0.959074,200.908,307.846,0.85595,258.638,307.811,0.767123,245.448,801.91,0.72598,267.58,801.747,0.778224,236.372,784.04,0.74056,191.716,801.811,0.669867,165.164,797.552,0.69001,191.9,775.238,0.702664
27,231.817,303.468,0.980502,227.55,369.931,0.939367,174.147,369.854,0.863388,111.84,339.103,0.902053,85.2148,267.569,0.946853,272.109,369.814,0.903955,334.563,325.501,0.91566,334.394,249.813,0.899926,223.139,521.466,0.842933,191.747,521.398,0.834907,191.835,650.423,0.843236,187.432,766.405,0.828594,258.585,521.537,0.813825,258.787,650.536,0.860057,249.808,770.767,0.807957,223.15,303.076,0.964069,236.387,303.036,0.954199,200.926,312.06,0.845719,258.655,307.839,0.749316,249.824,801.966,0.708443,267.62,801.783,0.769836,232.256,784.087,0.745233,191.764,801.856,0.657271,165.167,801.634,0.681235,191.835,779.555,0.690927
28,231.826,303.505,0.972748,227.525,369.844,0.930874,174.059,369.768,0.863705,107.416,334.281,0.908752,85.1767,258.615,0.913606,272.06,365.623,0.90138,334.531,312.16,0.920484,334.488,236.372,0.923972,223.11,521.456,0.854343,191.658,521.394,0.838599,191.831,650.519,0.863078,187.465,770.614,0.835645,258.608,521.528,0.827927,258.769,654.693,0.879087,249.8,770.786,0.810351,223.138,303.114,0.962682,232.267,303.054,0.951676,200.891,312.1,0.847973,258.598,307.797,0.723209,245.426,801.95,0.726646,267.55,801.78,0.78749,236.422,784.1,0.744171,191.709,801.9,0.669756,165.134,801.669,0.696926,191.898,779.658,0.710497
29,231.831,303.463,0.978581,227.523,369.815,0.927976,174.085,365.642,0.861989,107.412,325.489,0.85468,85.1898,249.823,0.895481,272.004,365.599,0.898924,334.313,307.768,0.920145,334.49,227.708,0.957317,223.097,521.411,0.851985,187.524,521.354,0.835395,191.797,650.535,0.85716,187.472,770.628,0.835479,258.626,521.476,0.827262,258.806,654.695,0.87704,249.836,770.746,0.814312,223.128,303.091,0.960696,232.255,298.981,0.949829,200.883,312.091,0.848925,258.559,307.676,0.714339,245.446,801.934,0.737484,267.559,801.766,0.797457,236.441,784.056,0.739975,191.722,801.903,0.668876,165.141,801.681,0.69265,191.919,783.959,0.709157
